raw_row_number,date,time,location,lat,lng,beat,subject_age,subject_race,subject_sex,officer_assignment,type,arrest_made,citation_issued,warning_issued,outcome,contraband_found,contraband_drugs,contraband_weapons,search_conducted,search_basis,reason_for_stop,use_of_force_description,raw_subject_sdrace,raw_subject_resultofencounter,raw_subject_searchconducted,raw_subject_typeofsearch,raw_subject_resultofsearch
40,2013-04-02,02:33:00,15TH ST&21ST AV,37.810217,-122.27296799999999,NA,NA,black,female,NA,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,NA,Traffic Violation,NA,B,"Citation,",No,NA,NA
96,2013-04-02,23:45:00,1218 97TH AV,37.7435958,-122.17371399999999,NA,NA,black,male,NA,NA,TRUE,FALSE,FALSE,arrest,FALSE,FALSE,FALSE,TRUE,other,Probable Cause,NA,B,"Felony Arrest,",Yes,"Incident to Arrest,",NA
39,2013-04-02,00:27:00,2900 UNION ST,37.821562,-122.28379699999999,NA,NA,black,male,NA,vehicular,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,other,Traffic Violation,NA,B,"FI Report,",Yes,"Prob./Parole,",NA
41,2013-04-02,03:40:00,3900 INTERNATIONAL BLVD,37.7744112,-122.21863229999998,NA,NA,hispanic,male,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA,Reasonable Suspicion,NA,H,"FI Report,",No,NA,NA
42,2013-04-02,03:58:00,1616 19TH AV,37.788388700000006,-122.23898829999999,NA,NA,asian/pacific islander,male,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA,Reasonable Suspicion,NA,A,"FI Report,",No,NA,NA
43,2013-04-02,07:39:00,16TH ST & POPLAR ST ST,37.8117714,-122.28874809999999,NA,NA,black,male,NA,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,NA,Traffic Violation,NA,B,"Citation,",No,NA,NA
44,2013-04-02,08:20:00,62nd Ave And Camden,37.7736741,-122.18343109999999,NA,NA,black,female,NA,vehicular,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA,Traffic Violation,NA,B,"FI Report,",No,NA,NA
45,2013-04-02,08:30:00,6500 MACARTHUR BLVD,37.773109600000005,-122.17864740000002,NA,NA,black,male,NA,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,NA,Traffic Violation,NA,B,"Warning,",No,NA,NA
46,2013-04-02,08:55:00,8400 EDGEWATER DR,37.7389999,-122.19890430000001,NA,NA,black,male,NA,NA,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,NA,Probable Cause,NA,B,"Citation,",No,NA,NA
47,2013-04-02,09:20:00,3100 Blk Of FILBERT ST,37.8219391,-122.2779939,NA,NA,hispanic,male,NA,NA,TRUE,FALSE,FALSE,arrest,FALSE,FALSE,FALSE,TRUE,other,Probable Cause,NA,H,"Felony Arrest,",Yes,"Incident to Arrest,",NA
123,2013-04-03,10:02:00,90T H &BANCROFT AV AV,37.7461708,-122.16035520000001,NA,NA,hispanic,female,NA,vehicular,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA,Traffic Violation,NA,H,"FI Report,",No,NA,NA
124,2013-04-03,10:13:00,82ND AVE & MACARTHUR BLVD,37.7626847,-122.1648942,NA,NA,black,female,NA,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,NA,Traffic Violation,NA,B,"Citation,",No,NA,NA
125,2013-04-03,10:15:00,8200blk MacArthur,37.7628757,-122.16481409999999,NA,NA,black,female,NA,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,NA,Traffic Violation,NA,B,"Citation,",No,NA,NA
